Date,Open,High,Low,Close
03-04-1983,30.38,29.3,30.65,29.29
10-04-1983,30.48,30.4,31,30
17-04-1983,30.75,30.56,30.85,30.55
24-04-1983,30.63,30.78,30.9,30.63
01-05-1983,30.12,30.66,30.72,29.95
08-05-1983,29.8,30.43,30.43,29.53
15-05-1983,30.3,29.87,30.66,29.25
22-05-1983,30.19,30.25,30.5,29.95
29-05-1983,30.36,30.05,30.45,30.05
05-06-1983,30.77,30.3,30.8,30.1
12-06-1983,31.4,30.86,31.65,30.85
19-06-1983,31.2,31.37,31.58,30.85
26-06-1983,31.35,31.2,31.45,31.05
03-07-1983,31.4,31.3,31.45,31
10-07-1983,31.7,31.5,31.92,31.5
17-07-1983,31.46,31.8,31.8,31.43
24-07-1983,32,31.35,32.02,31.35
31-07-1983,32.15,32.05,32.35,31.91
07-08-1983,31.99,32.05,32.23,31.91
14-08-1983,31.65,31.99,32.04,31.58
21-08-1983,31.8,31.5,31.81,31.5
28-08-1983,31.57,31.75,31.75,31.53
04-09-1983,31.21,31.48,31.48,31.2
11-09-1983,31.55,31.22,31.65,31.14
18-09-1983,31.3,31.5,31.56,31.2
25-09-1983,30.36,31.26,31.3,30.2
02-10-1983,30.47,30.32,30.8,29.7
09-10-1983,30.55,30.75,30.85,30.41
16-10-1983,30.33,30.45,30.68,30.15
23-10-1983,30.26,30.42,30.48,30.18
30-10-1983,30.46,30.16,30.55,30.16
06-11-1983,30.14,30.41,30.48,30.1
13-11-1983,29.19,30.07,30.27,28.84
20-11-1983,29.19,29.07,29.28,29.03
27-11-1983,29.38,29.43,29.9,29.11
04-12-1983,29.31,29.4,29.4,29
11-12-1983,28.57,29.38,29.5,28.57
18-12-1983,29.44,28.27,29.5,28.27
25-12-1983,29.6,29.59,30.17,29.36
01-01-1984,29.18,29.25,30.1,28.95
08-01-1984,29.58,29.47,29.7,29.08
15-01-1984,29.89,29.71,30.01,29.4
22-01-1984,30.14,29.47,30.2,29.4
29-01-1984,30.11,29.85,30.38,29.85
05-02-1984,29.83,30.06,30.22,29.75
12-02-1984,29.9,29.81,29.98,29.45
19-02-1984,30.1,30.06,30.15,29.55
26-02-1984,30.7,30.08,31.1,29.97
04-03-1984,30.99,30.68,30.99,30.6
11-03-1984,30.64,30.94,31.05,30.72
18-03-1984,30.61,30.24,30.67,30.13
25-03-1984,30.85,30.66,31.1,30.56
01-04-1984,30.75,30.81,30.88,30.66
08-04-1984,30.68,30.67,30.82,30.61
15-04-1984,30.52,30.63,30.76,30.42
22-04-1984,30.43,30.52,30.71,30.35
29-04-1984,30.25,30.36,30.37,30.1
06-05-1984,30.36,30.24,30.4,30.12
13-05-1984,30.75,30.39,31.5,30.39
20-05-1984,30.88,31.2,31.21,30.5
27-05-1984,30.7,30.87,30.92,30.59
03-06-1984,30.37,30.71,30.78,30.33
10-06-1984,30.03,30.34,30.38,29.95
17-06-1984,29.26,29.95,29.99,29.04
24-06-1984,29.75,29.3,29.8,29.18
01-07-1984,29.65,29.82,29.99,29.4
08-07-1984,28.95,29.59,29.6,28.95
15-07-1984,28.48,28.9,29.02,28.36
22-07-1984,27.7,28.2,28.65,27.63
29-07-1984,28.78,27.62,29.45,27.55
05-08-1984,29.08,28.74,29.46,28.62
12-08-1984,29.03,29.04,29.31,28.95
19-08-1984,29.91,29.41,30,29.35
26-08-1984,29.23,29.95,29.96,29.19
02-09-1984,29.22,29.06,29.37,28.84
09-09-1984,29.28,29.23,29.57,29.1
16-09-1984,29.47,29.23,29.85,29.16
23-09-1984,29.66,29.53,29.75,29.47
30-09-1984,29.4,29.64,29.72,29.38
07-10-1984,29.06,29.37,29.53,29.02
14-10-1984,27.7,29.11,29.12,26.3
21-10-1984,28.58,28.07,28.89,28.01
28-10-1984,28.65,28.49,28.75,28.04
04-11-1984,28.53,28.61,28.87,28.48
11-11-1984,28.08,28.42,28.56,28.01
18-11-1984,27.74,28.02,28.08,27.7
25-11-1984,27.31,27.4,27.63,27
02-12-1984,27.46,27.21,27.87,27.18
09-12-1984,26.45,27.34,27.5,26.28
16-12-1984,26.5,26.7,26.96,26.04
23-12-1984,26.41,26.57,26.86,26.29
30-12-1984,25.18,26.15,26.2,25.15
06-01-1985,25.77,25.73,26,25.31
13-01-1985,25.68,26.03,26.27,25.39
20-01-1985,25.25,25.93,26.04,25.02
27-01-1985,26.74,24.84,26.75,24.66
03-02-1985,27.59,26.75,27.6,26.38
10-02-1985,27.8,27.91,28.06,27.21
17-02-1985,26.76,27.38,27.4,26.73
24-02-1985,27.2,26.45,27.22,26.32
03-03-1985,27.74,27.24,28.1,27.22
10-03-1985,28.32,27.77,28.38,27.56
17-03-1985,28.24,28.5,29.07,27.83
24-03-1985,28.29,28.06,28.61,27.94
31-03-1985,28.9,28.36,28.96,28.34
07-04-1985,28.68,28.94,29.25,28.55
14-04-1985,29.31,28.85,29.33,28.66
21-04-1985,27.94,29.38,30,27.48
28-04-1985,27.29,27.82,27.9,27.1
05-05-1985,27.38,27.3,27.76,27.04
12-05-1985,27.8,27.32,28.01,27.32
19-05-1985,27.7,27.8,28.14,26.98
26-05-1985,27.84,27.54,27.99,27.51
02-06-1985,26.92,27.64,27.64,26.85
09-06-1985,27.29,26.82,27.48,26.7
16-06-1985,26.92,27.1,27.4,26.63
23-06-1985,26.87,26.8,27.14,26.74
30-06-1985,26.91,26.8,27.04,26.58
07-07-1985,27.11,26.79,27.7,26.69
14-07-1985,27.4,27.11,27.64,27.05
21-07-1985,27.3,27.39,27.7,26.96
28-07-1985,27.31,27.36,27.52,27.01
04-08-1985,27.37,27.43,27.46,27.16
11-08-1985,28.03,27.49,28.13,27.46
18-08-1985,27.95,27.99,28.24,27.71
25-08-1985,28.08,27.96,28.32,27.82
01-09-1985,27.75,28.23,28.37,27.7
08-09-1985,28.01,27.64,28.19,27.37
15-09-1985,28.72,27.93,28.8,27.85
22-09-1985,28.93,28.13,29.19,27.95
29-09-1985,29,28.83,29.52,28.8
06-10-1985,28.73,28.87,29.32,28.57
13-10-1985,29.52,28.79,29.56,28.75
20-10-1985,29.65,29.51,30.6,28.85
27-10-1985,30.39,29.77,30.49,29.75
03-11-1985,30.45,30.25,30.54,29.93
10-11-1985,30.97,30.64,31.5,30.61
17-11-1985,30.91,30.87,31.82,30.53
24-11-1985,29.75,31,31.17,29.74
01-12-1985,28.74,29.3,29.85,28.55
08-12-1985,27.37,27.78,27.95,24.8
15-12-1985,25.77,27.71,27.8,25.65
22-12-1985,26.89,25.69,26.9,25.53
29-12-1985,25.97,26.98,27.01,25.2
05-01-1986,25.79,26.23,26.6,25.3
